排出年,特定排出者コード,事業者・事業所名,区分,業種,所在地,温室効果ガス算定排出量(tCO2)
year,code,name,type,sector,location,tCO2
2021,985336900,日本製鉄株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,81587947
2021,650003624,太平洋セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都文京区,12293196
2021,640351830,東ソー株式会社,特定事業所排出者,化学工業,東京都港区,7619254
2021,985347206,住友大阪セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,7394542
2021,985052701,出光興産株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,6937102
2021,640006257,株式会社トクヤマ,特定事業所排出者,化学工業,東京都千代田区,6335799
2021,710034905,大王製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,愛媛県四国中央市,3255554
2021,650002304,ＵＢＥ株式会社,特定事業所排出者,化学工業,東京都港区,2517214
2021,985452408,電源開発株式会社,特定事業所排出者,電気業,東京都中央区,2511858
2021,986306852,王子マテリア株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都中央区,2496734
2021,985451705,デンカ株式会社,特定事業所排出者,化学工業,東京都中央区,1947577
2021,985022102,ＡＧＣ株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,1912464
2021,985651608,日本航空株式会社,特定航空輸送事業者,航空運輸業,東京都品川区,1716775
2021,581100003,西日本旅客鉄道株式会社,特定旅客輸送事業者,鉄道業,大阪府大阪市,1300000
2021,985390806,大平洋金属株式会社,特定事業所排出者,鉄鋼業,青森県八戸市,1220691
2021,400072412,大同特殊鋼株式会社,特定事業所排出者,鉄鋼業,愛知県名古屋市,1169345
2021,580046998,株式会社カネカ,特定事業所排出者,化学工業,大阪府大阪市,1059580
2021,580006446,レンゴー株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,大阪府大阪市,858147
2021,400108408,株式会社デンソー,特定事業所排出者,輸送用機械器具製造業,愛知県刈谷市,812273
2021,985330101,信越化学工業株式会社,特定事業所排出者,化学工業,東京都千代田区,798941
2021,985346700,住友金属鉱山株式会社,特定事業所排出者,非鉄金属製造業,東京都港区,775404
2021,985793309,三菱瓦斯化学株式会社,特定事業所排出者,化学工業,東京都千代田区,722907
2021,400004029,愛知製鋼株式会社,特定事業所排出者,鉄鋼業,愛知県東海市,722902
2021,985336900,日本製鉄株式会社,特定荷主,鉄鋼業,東京都千代田区,709906
