ドラッグストアの前年比,,,
,,,
,,,
type,pref,year,yoy
販売額等,北海道,2021年度,0.2
販売額等,北海道,2022年度,3.9
販売額等,北海道,2023年度,7.3
販売額等,青森県,2021年度,5.6
販売額等,青森県,2022年度,6
販売額等,青森県,2023年度,6.4
販売額等,岩手県,2021年度,10.5
販売額等,岩手県,2022年度,16.1
販売額等,岩手県,2023年度,9.9
販売額等,宮城県,2021年度,5.1
販売額等,宮城県,2022年度,8.2
販売額等,宮城県,2023年度,8.5
販売額等,秋田県,2021年度,6.8
販売額等,秋田県,2022年度,6.2
販売額等,秋田県,2023年度,8.6
販売額等,山形県,2021年度,5.8
販売額等,山形県,2022年度,8
販売額等,山形県,2023年度,7.3
販売額等,福島県,2021年度,4.3
販売額等,福島県,2022年度,5.7
販売額等,福島県,2023年度,7.4
販売額等,茨城県,2021年度,3.6
販売額等,茨城県,2022年度,5.3
販売額等,茨城県,2023年度,6.5
販売額等,栃木県,2021年度,2.3
販売額等,栃木県,2022年度,5.8
販売額等,栃木県,2023年度,7.1
販売額等,群馬県,2021年度,2.5
販売額等,群馬県,2022年度,5
販売額等,群馬県,2023年度,8.2
販売額等,埼玉県,2021年度,0.6
販売額等,埼玉県,2022年度,4
販売額等,埼玉県,2023年度,7.2
販売額等,千葉県,2021年度,2.5
販売額等,千葉県,2022年度,6.2
販売額等,千葉県,2023年度,9.4
販売額等,東京都,2021年度,0.9
販売額等,東京都,2022年度,4.5
販売額等,東京都,2023年度,11
販売額等,神奈川県,2021年度,2.6
販売額等,神奈川県,2022年度,5.1
販売額等,神奈川県,2023年度,7.9
販売額等,新潟県,2021年度,3.8
販売額等,新潟県,2022年度,5.3
販売額等,新潟県,2023年度,6.8
販売額等,富山県,2021年度,7.2
販売額等,富山県,2022年度,9
販売額等,富山県,2023年度,10.5
販売額等,石川県,2021年度,7.1
販売額等,石川県,2022年度,8.7
販売額等,石川県,2023年度,11.8
販売額等,福井県,2021年度,5.3
販売額等,福井県,2022年度,7.9
販売額等,福井県,2023年度,10
販売額等,山梨県,2021年度,-2.9
販売額等,山梨県,2022年度,7.1
販売額等,山梨県,2023年度,6.4
販売額等,長野県,2021年度,3.3
販売額等,長野県,2022年度,7
販売額等,長野県,2023年度,7.8
販売額等,岐阜県,2021年度,0.1
販売額等,岐阜県,2022年度,1.9
販売額等,岐阜県,2023年度,8.1
販売額等,静岡県,2021年度,4.5
販売額等,静岡県,2022年度,6.8
販売額等,静岡県,2023年度,7.8
販売額等,愛知県,2021年度,4.1
販売額等,愛知県,2022年度,5.6
販売額等,愛知県,2023年度,10
販売額等,三重県,2021年度,3
販売額等,三重県,2022年度,6.6
販売額等,三重県,2023年度,10.4
販売額等,滋賀県,2021年度,3.7
販売額等,滋賀県,2022年度,11
販売額等,滋賀県,2023年度,12.9
販売額等,京都府,2021年度,5.4
販売額等,京都府,2022年度,8.3
販売額等,京都府,2023年度,12.6
販売額等,大阪府,2021年度,4.6
販売額等,大阪府,2022年度,7.1
販売額等,大阪府,2023年度,12.8
販売額等,兵庫県,2021年度,1.6
販売額等,兵庫県,2022年度,5.1
販売額等,兵庫県,2023年度,7.6
販売額等,奈良県,2021年度,0.3
販売額等,奈良県,2022年度,6.1
販売額等,奈良県,2023年度,12
販売額等,和歌山県,2021年度,4.8
販売額等,和歌山県,2022年度,6.4
販売額等,和歌山県,2023年度,10.7
販売額等,鳥取県,2021年度,4.2
販売額等,鳥取県,2022年度,9.8
販売額等,鳥取県,2023年度,8.1
販売額等,島根県,2021年度,1.9
販売額等,島根県,2022年度,3.8
販売額等,島根県,2023年度,6.2
販売額等,岡山県,2021年度,3.2
販売額等,岡山県,2022年度,9.5
販売額等,岡山県,2023年度,7.3
販売額等,広島県,2021年度,0.1
販売額等,広島県,2022年度,4.8
販売額等,広島県,2023年度,7.5
販売額等,山口県,2021年度,0.3
販売額等,山口県,2022年度,4.1
販売額等,山口県,2023年度,6.8
販売額等,徳島県,2021年度,1.1
販売額等,徳島県,2022年度,6.4
販売額等,徳島県,2023年度,11.4
販売額等,香川県,2021年度,2.3
販売額等,香川県,2022年度,5.7
販売額等,香川県,2023年度,5.2
販売額等,愛媛県,2021年度,3.4
販売額等,愛媛県,2022年度,6.8
販売額等,愛媛県,2023年度,8.9
販売額等,高知県,2021年度,3.9
販売額等,高知県,2022年度,6.2
販売額等,高知県,2023年度,14.8
販売額等,福岡県,2021年度,-6.1
販売額等,福岡県,2022年度,5.4
販売額等,福岡県,2023年度,9.3
販売額等,佐賀県,2021年度,-2.4
販売額等,佐賀県,2022年度,2.9
販売額等,佐賀県,2023年度,7.3
販売額等,長崎県,2021年度,0.7
販売額等,長崎県,2022年度,6
販売額等,長崎県,2023年度,8.2
販売額等,熊本県,2021年度,-2.8
販売額等,熊本県,2022年度,4.4
販売額等,熊本県,2023年度,8
販売額等,大分県,2021年度,-3.9
販売額等,大分県,2022年度,5.4
販売額等,大分県,2023年度,7.8
販売額等,宮崎県,2021年度,-1.6
販売額等,宮崎県,2022年度,2.7
販売額等,宮崎県,2023年度,6.7
販売額等,鹿児島県,2021年度,1.4
販売額等,鹿児島県,2022年度,4.4
販売額等,鹿児島県,2023年度,9.1
販売額等,沖縄県,2021年度,-3.3
販売額等,沖縄県,2022年度,5.5
販売額等,沖縄県,2023年度,13
店舗数,北海道,2021年度,1.3
店舗数,北海道,2022年度,1.6
店舗数,北海道,2023年度,1.9
店舗数,青森県,2021年度,8.1
店舗数,青森県,2022年度,4.5
店舗数,青森県,2023年度,5.3
店舗数,岩手県,2021年度,10.5
店舗数,岩手県,2022年度,6.2
店舗数,岩手県,2023年度,1.2
店舗数,宮城県,2021年度,7.3
店舗数,宮城県,2022年度,3
店舗数,宮城県,2023年度,1.8
店舗数,秋田県,2021年度,8.3
店舗数,秋田県,2022年度,7.7
店舗数,秋田県,2023年度,0
店舗数,山形県,2021年度,9.6
店舗数,山形県,2022年度,8.2
店舗数,山形県,2023年度,2.9
店舗数,福島県,2021年度,11
店舗数,福島県,2022年度,6.5
店舗数,福島県,2023年度,3.6
店舗数,茨城県,2021年度,6.2
店舗数,茨城県,2022年度,2.2
店舗数,茨城県,2023年度,2.4
店舗数,栃木県,2021年度,9.8
店舗数,栃木県,2022年度,6.2
店舗数,栃木県,2023年度,4.4
店舗数,群馬県,2021年度,6.6
店舗数,群馬県,2022年度,5.6
店舗数,群馬県,2023年度,2.8
店舗数,埼玉県,2021年度,2.5
店舗数,埼玉県,2022年度,3.5
店舗数,埼玉県,2023年度,1.7
店舗数,千葉県,2021年度,3.7
店舗数,千葉県,2022年度,5.3
店舗数,千葉県,2023年度,4.4
店舗数,東京都,2021年度,2.3
店舗数,東京都,2022年度,4.4
店舗数,東京都,2023年度,3.1
店舗数,神奈川県,2021年度,4.5
店舗数,神奈川県,2022年度,4.1
店舗数,神奈川県,2023年度,2.4
店舗数,新潟県,2021年度,7.5
店舗数,新潟県,2022年度,3.2
店舗数,新潟県,2023年度,3.1
店舗数,富山県,2021年度,11.5
店舗数,富山県,2022年度,7
店舗数,富山県,2023年度,2.2
店舗数,石川県,2021年度,10.4
店舗数,石川県,2022年度,6.7
店舗数,石川県,2023年度,3.7
店舗数,福井県,2021年度,15.7
店舗数,福井県,2022年度,7.9
店舗数,福井県,2023年度,1
