表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,
公開日：,2025年10月31日,,,,,,,,,
,,,,,,,,,,
NA,欠測値,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
調査年,地域,A1101_総人口【人】,A110101_総人口（男）【人】,A110102_総人口（女）【人】,B1103_可住地面積【ｈａ】,B4101_年平均気温【℃】,B4108_日照時間（年間）【時間】,C1101_県内総生産額（平成17年基準）【百万円】,M380100_交際・付き合いの平均時間（15歳以上）（男）【分】,M380200_交際・付き合いの平均時間（15歳以上）（女）【分】
year,pref,pop,male,female,area,temp,sun,gdp,hour_m,hour_f
2024年度,北海道,5043000 ,2382000 ,2661000 ,NA,NA,NA,NA,NA,NA
2024年度,青森県,1165000 ,549000 ,615000 ,NA,NA,NA,NA,NA,NA
2024年度,岩手県,1145000 ,553000 ,592000 ,NA,NA,NA,NA,NA,NA
2024年度,宮城県,2248000 ,1096000 ,1152000 ,NA,NA,NA,NA,NA,NA
2024年度,秋田県,897000 ,424000 ,473000 ,NA,NA,NA,NA,NA,NA
2024年度,山形県,1011000 ,491000 ,520000 ,NA,NA,NA,NA,NA,NA
2024年度,福島県,1743000 ,861000 ,881000 ,NA,NA,NA,NA,NA,NA
2024年度,茨城県,2806000 ,1404000 ,1403000 ,NA,NA,NA,NA,NA,NA
2024年度,栃木県,1885000 ,942000 ,942000 ,NA,NA,NA,NA,NA,NA
2024年度,群馬県,1890000 ,937000 ,953000 ,NA,NA,NA,NA,NA,NA
2024年度,埼玉県,7332000 ,3640000 ,3691000 ,NA,NA,NA,NA,NA,NA
2024年度,千葉県,6251000 ,3094000 ,3158000 ,NA,NA,NA,NA,NA,NA
2024年度,東京都,14178000 ,6960000 ,7218000 ,NA,NA,NA,NA,NA,NA
2024年度,神奈川県,9225000 ,4576000 ,4649000 ,NA,NA,NA,NA,NA,NA
2024年度,新潟県,2099000 ,1021000 ,1078000 ,NA,NA,NA,NA,NA,NA
2024年度,富山県,997000 ,486000 ,511000 ,NA,NA,NA,NA,NA,NA
2024年度,石川県,1098000 ,534000 ,564000 ,NA,NA,NA,NA,NA,NA
2024年度,福井県,739000 ,361000 ,377000 ,NA,NA,NA,NA,NA,NA
2024年度,山梨県,791000 ,389000 ,402000 ,NA,NA,NA,NA,NA,NA
2024年度,長野県,1987000 ,973000 ,1014000 ,NA,NA,NA,NA,NA,NA
2024年度,岐阜県,1916000 ,930000 ,985000 ,NA,NA,NA,NA,NA,NA
2024年度,静岡県,3527000 ,1740000 ,1787000 ,NA,NA,NA,NA,NA,NA
2024年度,愛知県,7460000 ,3717000 ,3742000 ,NA,NA,NA,NA,NA,NA
2024年度,三重県,1711000 ,837000 ,874000 ,NA,NA,NA,NA,NA,NA
2024年度,滋賀県,1402000 ,693000 ,710000 ,NA,NA,NA,NA,NA,NA
2024年度,京都府,2520000 ,1203000 ,1317000 ,NA,NA,NA,NA,NA,NA
2024年度,大阪府,8757000 ,4185000 ,4572000 ,NA,NA,NA,NA,NA,NA
2024年度,兵庫県,5337000 ,2535000 ,2802000 ,NA,NA,NA,NA,NA,NA
2024年度,奈良県,1285000 ,604000 ,681000 ,NA,NA,NA,NA,NA,NA
2024年度,和歌山県,880000 ,415000 ,465000 ,NA,NA,NA,NA,NA,NA
2024年度,鳥取県,531000 ,254000 ,277000 ,NA,NA,NA,NA,NA,NA
2024年度,島根県,642000 ,311000 ,331000 ,NA,NA,NA,NA,NA,NA
2024年度,岡山県,1831000 ,882000 ,950000 ,NA,NA,NA,NA,NA,NA
2024年度,広島県,2714000 ,1318000 ,1396000 ,NA,NA,NA,NA,NA,NA
2024年度,山口県,1281000 ,610000 ,671000 ,NA,NA,NA,NA,NA,NA
2024年度,徳島県,685000 ,328000 ,358000 ,NA,NA,NA,NA,NA,NA
2024年度,香川県,917000 ,444000 ,473000 ,NA,NA,NA,NA,NA,NA
2024年度,愛媛県,1276000 ,606000 ,669000 ,NA,NA,NA,NA,NA,NA
2024年度,高知県,656000 ,311000 ,345000 ,NA,NA,NA,NA,NA,NA
2024年度,福岡県,5092000 ,2413000 ,2678000 ,NA,NA,NA,NA,NA,NA
2024年度,佐賀県,788000 ,375000 ,414000 ,NA,NA,NA,NA,NA,NA
2024年度,長崎県,1252000 ,591000 ,661000 ,NA,NA,NA,NA,NA,NA
2024年度,熊本県,1697000 ,806000 ,891000 ,NA,NA,NA,NA,NA,NA
2024年度,大分県,1085000 ,517000 ,568000 ,NA,NA,NA,NA,NA,NA
2024年度,宮崎県,1033000 ,488000 ,545000 ,NA,NA,NA,NA,NA,NA
2024年度,鹿児島県,1532000 ,724000 ,807000 ,NA,NA,NA,NA,NA,NA
2024年度,沖縄県,1466000 ,722000 ,744000 ,NA,NA,NA,NA,NA,NA
2023年度,北海道,5092000 ,2405000 ,2688000 ,2268995 ,11 ,1890 ,NA,NA,NA
2023年度,青森県,1184000 ,559000 ,626000 ,325268 ,13 ,1821 ,NA,NA,NA
2023年度,岩手県,1163000 ,562000 ,602000 ,375140 ,13 ,1913 ,NA,NA,NA
2023年度,宮城県,2264000 ,1105000 ,1160000 ,318594 ,15 ,2182 ,NA,NA,NA
2023年度,秋田県,914000 ,432000 ,482000 ,323329 ,14 ,1836 ,NA,NA,NA
2023年度,山形県,1026000 ,498000 ,528000 ,287329 ,14 ,1894 ,NA,NA,NA
2023年度,福島県,1767000 ,873000 ,894000 ,423098 ,15 ,2065 ,NA,NA,NA
2023年度,茨城県,2825000 ,1412000 ,1412000 ,388892 ,16 ,2454 ,NA,NA,NA
2023年度,栃木県,1897000 ,948000 ,950000 ,300506 ,16 ,2294 ,NA,NA,NA
2023年度,群馬県,1902000 ,942000 ,960000 ,226902 ,17 ,2497 ,NA,NA,NA
2023年度,埼玉県,7331000 ,3640000 ,3691000 ,260309 ,17 ,2546 ,NA,NA,NA
2023年度,千葉県,6257000 ,3099000 ,3158000 ,353301 ,18 ,2346 ,NA,NA,NA
2023年度,東京都,14086000 ,6914000 ,7172000 ,142868 ,18 ,2259 ,NA,NA,NA
2023年度,神奈川県,9229000 ,4578000 ,4651000 ,147405 ,18 ,2410 ,NA,NA,NA
2023年度,新潟県,2126000 ,1034000 ,1092000 ,455009 ,15 ,1944 ,NA,NA,NA
2023年度,富山県,1007000 ,490000 ,516000 ,184223 ,16 ,1979 ,NA,NA,NA
2023年度,石川県,1109000 ,539000 ,570000 ,139463 ,17 ,2030 ,NA,NA,NA
